RespondentID,CollectorID,StartDate,EndDate,,Email Address,First Name,LastName,Custom Data,The following development tools are used in your organisation's projects.,,,,Which if any of the following build systems have you used for your work:,,,,,,,,"Which, if any, of the following source control systems have you used as part of your work.",,,,,,,Which if any of the following Integrated Development Environments have you used as part of your work.,,,,,,Which if any of the following programming languages have you used as part of your work,,,,,,,,,,The following processes are used in your organisation's projects.,,,,,The following practices and techniques are used in your organisation's projects.,,,,,,,,The following software architecture and design goals are important in your organisation's projects.,,,,,The following software development project management functions are carried out on your projects.,,
,,,,,,,,,"Build Systems (Ant, Maven, Gradle etc)","Source Control (svn, git, clearcase etc)","Integrated Development Environment (Eclipse, Visual Studio etc)","Continuous Integration Engine (Jenkins, Bamboo etc)",Ant,Maven,Gradle,Ivy,TFS Build,Grunt,make,Other (please specify),Subversion (svn),CVS,Git,Team Foundation Server (TFS),Clearcase,Mercurial,Other (please specify),Eclipse,Visual Studio,IntelliJ,Web Storm,R Studio,Other (please specify),Fortran,Perl,Java,C#,Python,R,C,C++,Scala,Other (please specify),Automated/Reproducible Builds,Release Scripts,Source Control Branching,Continuous Integration with Automated Tests,Automatic Source Code Analysis,Unit Testing,Integration Testing,User Acceptance Testing,Dependency Injection,Use of Design Patterns,Code Reviews,Refactoring,Up-Front Architecture and Design,Scalability,Readability/Maintainability,Modularity,Performance,Testability,Requirements Gathering,Project Tracking,Documentation
3674743610,62185394,01/05/2015 09:03,01/05/2015 09:06,,,,,,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Ant,,,,,,,,Subversion (svn),CVS,Git,,,,,Eclipse,Visual Studio,,,,,,Perl,Java,C#,,,,C++,,,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree
3672860323,62185394,01/02/2015 17:53,01/02/2015 17:59,,,,,,Disagree,Disagree,Disagree,Agree,,,,,,,,,,,,,,,PVCS Dimensions,,,,,,Oracle designer,,,,,,,,,,PL/SQL,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
3665389103,62185394,12/24/2014 12:25:23,12/24/2014 12:27:29,,,,,,Strongly agree,Strongly agree,Agree,Agree,Ant,Maven,,,,,,,Subversion (svn),CVS,Git,,,Mercurial,Perforce,Eclipse,Visual Studio,,,,,,Perl,Java,,Python,,,,,,Strongly agree,Disagree,Agree,Neither agree or disagree,Agree,Strongly agree,Agree,Neither agree or disagree,Disagree,Agree,Agree,Neither agree or disagree,Agree,Disagree,Neither agree or disagree,Agree,Agree,Agree,Strongly agree,Neither agree or disagree,Agree
3665384508,62185394,12/24/2014 12:18:28,12/24/2014 12:21:31,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,,,,Grunt,,,Subversion (svn),CVS,Git,,Clearcase,,,Eclipse,,IntelliJ,Web Storm,,,,,Java,,,,C,C++,Scala,"groovy, javascript",Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Agree
3665383601,62185394,12/24/2014 12:18:16,12/24/2014 12:20:17,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Ant,Maven,Gradle,Ivy,TFS Build,Grunt,make,,Subversion (svn),,Git,Team Foundation Server (TFS),,,,,Visual Studio,IntelliJ,,,,,,Java,C#,,,,,,Objective C,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
3664433168,62185394,12/23/2014 16:31:46,12/23/2014 16:46:29,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,,make,,,,Git,,,,,,,,,,vim,,,,,Python,,C,C++,,,Agree,Disagree,Strongly agree,Agree,Agree,Agree,,Neither agree or disagree,Disagree,Disagree,Agree,Neither agree or disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Disagree
3664023375,62185394,12/23/2014 11:13:02,12/23/2014 11:14:47,,,,,,Strongly disagree,Agree,Agree,Strongly disagree,,,,,TFS Build,,,,,,,Team Foundation Server (TFS),,,,,Visual Studio,,,,,,,,C#,,,,,,,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Agree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree
3662670995,62185394,12/22/2014 15:12:03,12/22/2014 15:15:35,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,,,,,,,Subversion (svn),CVS,Git,,,,MKS Integrity,Eclipse,,,,,"Netbeans, JBuilder",,,Java,,,,,,,Groovy,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
3662532016,62185394,12/22/2014 13:59:34,12/22/2014 14:02:56,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Ant,Maven,,,,,,,Subversion (svn),CVS,Git,,,,,Eclipse,,IntelliJ,,,,,,Java,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,Agree,Agree
